acc,cylinders,displacement,hp,weight,output
12.0,8,307.0,130.0,3504.0,2
11.5,8,350.0,165.0,3693.0,1
11.0,8,318.0,150.0,3436.0,2
12.0,8,304.0,150.0,3433.0,2
10.5,8,302.0,140.0,3449.0,2
10.0,8,429.0,198.0,4341.0,1
9.0,8,454.0,220.0,4354.0,1
8.5,8,440.0,215.0,4312.0,1
10.0,8,455.0,225.0,4425.0,1
8.5,8,390.0,190.0,3850.0,1
10.0,8,383.0,170.0,3563.0,1
8.0,8,340.0,160.0,3609.0,1
9.5,8,400.0,150.0,3761.0,1
10.0,8,455.0,225.0,3086.0,1
15.0,4,113.0,95.0,2372.0,2
15.5,6,198.0,95.0,2833.0,2
15.5,6,199.0,97.0,2774.0,2
16.0,6,200.0,85.0,2587.0,2
14.5,4,97.0,88.0,2130.0,2
20.5,4,97.0,46.0,1835.0,2
17.5,4,110.0,87.0,2672.0,2
14.5,4,107.0,90.0,2430.0,2
17.5,4,104.0,95.0,2375.0,2
12.5,4,121.0,113.0,2234.0,2
15.0,6,199.0,90.0,2648.0,2
14.0,8,360.0,215.0,4615.0,1
15.0,8,307.0,200.0,4376.0,1
13.5,8,318.0,210.0,4382.0,1
18.5,8,304.0,193.0,4732.0,1
14.5,4,97.0,88.0,2130.0,2
15.5,4,140.0,90.0,2264.0,2
14.0,4,113.0,95.0,2228.0,2
13.0,6,232.0,100.0,2634.0,2
15.5,6,225.0,105.0,3439.0,2
15.5,6,250.0,100.0,3329.0,2
15.5,6,250.0,88.0,3302.0,2
15.5,6,232.0,100.0,3288.0,2
12.0,8,350.0,165.0,4209.0,1
11.5,8,400.0,175.0,4464.0,1
13.5,8,351.0,153.0,4154.0,1
13.0,8,318.0,150.0,4096.0,1
11.5,8,383.0,180.0,4955.0,1
12.0,8,400.0,170.0,4746.0,1
12.0,8,400.0,175.0,5140.0,1
13.5,6,258.0,110.0,2962.0,2
19.0,4,140.0,72.0,2408.0,2
15.0,6,250.0,100.0,3282.0,2
14.5,6,250.0,88.0,3139.0,2
14.0,4,122.0,86.0,2220.0,2
14.0,4,116.0,90.0,2123.0,2
19.5,4,79.0,70.0,2074.0,2
14.5,4,88.0,76.0,2065.0,2
19.0,4,71.0,65.0,1773.0,2
18.0,4,72.0,69.0,1613.0,2
19.0,4,97.0,60.0,1834.0,2
20.5,4,91.0,70.0,1955.0,2
15.5,4,113.0,95.0,2278.0,2
17.0,4,97.5,80.0,2126.0,2
23.5,4,97.0,54.0,2254.0,2
19.5,4,140.0,90.0,2408.0,2
16.5,4,122.0,86.0,2226.0,2
12.0,8,350.0,165.0,4274.0,1
12.0,8,400.0,175.0,4385.0,1
13.5,8,318.0,150.0,4135.0,1
13.0,8,351.0,153.0,4129.0,1
11.5,8,304.0,150.0,3672.0,2
11.0,8,429.0,208.0,4633.0,1
13.5,8,350.0,155.0,4502.0,1
13.5,8,350.0,160.0,4456.0,1
12.5,8,400.0,190.0,4422.0,1
13.5,3,70.0,97.0,2330.0,2
12.5,8,304.0,150.0,3892.0,1
14.0,8,307.0,130.0,4098.0,1
16.0,8,302.0,140.0,4294.0,1
14.0,8,318.0,150.0,4077.0,1
14.5,4,121.0,112.0,2933.0,2
18.0,4,121.0,76.0,2511.0,2
19.5,4,120.0,87.0,2979.0,2
18.0,4,96.0,69.0,2189.0,2
16.0,4,122.0,86.0,2395.0,2
17.0,4,97.0,92.0,2288.0,2
14.5,4,120.0,97.0,2506.0,2
15.0,4,98.0,80.0,2164.0,2
16.5,4,97.0,88.0,2100.0,2
13.0,8,350.0,175.0,4100.0,1
11.5,8,304.0,150.0,3672.0,1
13.0,8,350.0,145.0,3988.0,1
14.5,8,302.0,137.0,4042.0,1
12.5,8,318.0,150.0,3777.0,1
11.5,8,429.0,198.0,4952.0,1
12.0,8,400.0,150.0,4464.0,1
13.0,8,351.0,158.0,4363.0,1
14.5,8,318.0,150.0,4237.0,1
11.0,8,440.0,215.0,4735.0,1
