cement,slag,ash,water,superplasticizer,coarse_agg,fine_agg,age,output
540.0,0.0,-0.0,-162.0,2.5,-1040.0,676.0,28,2
540.0,0.0,-0.0,-162.0,2.5,-1055.0,676.0,28,2
332.5,142.5,-0.0,-228.0,0.0,-932.0,594.0,270,2
332.5,142.5,-0.0,-228.0,0.0,-932.0,594.0,365,2
198.6,132.4,-0.0,-192.0,0.0,-978.4,825.5,360,2
266.0,114.0,-0.0,-228.0,0.0,-932.0,670.0,90,2
380.0,95.0,-0.0,-228.0,0.0,-932.0,594.0,365,2
380.0,95.0,-0.0,-228.0,0.0,-932.0,594.0,28,2
266.0,114.0,-0.0,-228.0,0.0,-932.0,670.0,28,2
475.0,0.0,-0.0,-228.0,0.0,-932.0,594.0,28,2
198.6,132.4,-0.0,-192.0,0.0,-978.4,825.5,90,2
198.6,132.4,-0.0,-192.0,0.0,-978.4,825.5,28,2
427.5,47.5,-0.0,-228.0,0.0,-932.0,594.0,270,2
190.0,190.0,-0.0,-228.0,0.0,-932.0,670.0,90,2
304.0,76.0,-0.0,-228.0,0.0,-932.0,670.0,28,2
380.0,0.0,-0.0,-228.0,0.0,-932.0,670.0,90,2
139.6,209.4,-0.0,-192.0,0.0,-1047.0,806.9,90,2
342.0,38.0,-0.0,-228.0,0.0,-932.0,670.0,365,2
380.0,95.0,-0.0,-228.0,0.0,-932.0,594.0,90,2
475.0,0.0,-0.0,-228.0,0.0,-932.0,594.0,180,2
427.5,47.5,-0.0,-228.0,0.0,-932.0,594.0,180,2
139.6,209.4,-0.0,-192.0,0.0,-1047.0,806.9,28,2
139.6,209.4,-0.0,-192.0,0.0,-1047.0,806.9,3,1
139.6,209.4,-0.0,-192.0,0.0,-1047.0,806.9,180,2
380.0,0.0,-0.0,-228.0,0.0,-932.0,670.0,365,2
380.0,0.0,-0.0,-228.0,0.0,-932.0,670.0,270,2
380.0,95.0,-0.0,-228.0,0.0,-932.0,594.0,270,2
342.0,38.0,-0.0,-228.0,0.0,-932.0,670.0,180,2
427.5,47.5,-0.0,-228.0,0.0,-932.0,594.0,28,2
475.0,0.0,-0.0,-228.0,0.0,-932.0,594.0,7,2
304.0,76.0,-0.0,-228.0,0.0,-932.0,670.0,365,2
266.0,114.0,-0.0,-228.0,0.0,-932.0,670.0,365,2
198.6,132.4,-0.0,-192.0,0.0,-978.4,825.5,180,2
475.0,0.0,-0.0,-228.0,0.0,-932.0,594.0,270,2
190.0,190.0,-0.0,-228.0,0.0,-932.0,670.0,365,2
237.5,237.5,-0.0,-228.0,0.0,-932.0,594.0,270,2
237.5,237.5,-0.0,-228.0,0.0,-932.0,594.0,28,2
332.5,142.5,-0.0,-228.0,0.0,-932.0,594.0,90,2
475.0,0.0,-0.0,-228.0,0.0,-932.0,594.0,90,2
237.5,237.5,-0.0,-228.0,0.0,-932.0,594.0,180,2
342.0,38.0,-0.0,-228.0,0.0,-932.0,670.0,90,2
427.5,47.5,-0.0,-228.0,0.0,-932.0,594.0,365,2
237.5,237.5,-0.0,-228.0,0.0,-932.0,594.0,365,2
380.0,0.0,-0.0,-228.0,0.0,-932.0,670.0,180,2
427.5,47.5,-0.0,-228.0,0.0,-932.0,594.0,90,2
427.5,47.5,-0.0,-228.0,0.0,-932.0,594.0,7,2
349.0,0.0,-0.0,-192.0,0.0,-1047.0,806.9,3,1
380.0,95.0,-0.0,-228.0,0.0,-932.0,594.0,180,2
237.5,237.5,-0.0,-228.0,0.0,-932.0,594.0,7,2
380.0,95.0,-0.0,-228.0,0.0,-932.0,594.0,7,2
332.5,142.5,-0.0,-228.0,0.0,-932.0,594.0,180,2
190.0,190.0,-0.0,-228.0,0.0,-932.0,670.0,180,2
237.5,237.5,-0.0,-228.0,0.0,-932.0,594.0,90,2
304.0,76.0,-0.0,-228.0,0.0,-932.0,670.0,90,2
139.6,209.4,-0.0,-192.0,0.0,-1047.0,806.9,7,1
198.6,132.4,-0.0,-192.0,0.0,-978.4,825.5,7,1
475.0,0.0,-0.0,-228.0,0.0,-932.0,594.0,365,2
198.6,132.4,-0.0,-192.0,0.0,-978.4,825.5,3,1
304.0,76.0,-0.0,-228.0,0.0,-932.0,670.0,180,2
332.5,142.5,-0.0,-228.0,0.0,-932.0,594.0,28,2
304.0,76.0,-0.0,-228.0,0.0,-932.0,670.0,270,2
266.0,114.0,-0.0,-228.0,0.0,-932.0,670.0,270,2
310.0,0.0,-0.0,-192.0,0.0,-971.0,850.6,3,1
190.0,190.0,-0.0,-228.0,0.0,-932.0,670.0,270,2
266.0,114.0,-0.0,-228.0,0.0,-932.0,670.0,180,2
342.0,38.0,-0.0,-228.0,0.0,-932.0,670.0,270,2
139.6,209.4,-0.0,-192.0,0.0,-1047.0,806.9,360,2
332.5,142.5,-0.0,-228.0,0.0,-932.0,594.0,7,2
190.0,190.0,-0.0,-228.0,0.0,-932.0,670.0,28,2
485.0,0.0,-0.0,-146.0,0.0,-1120.0,800.0,28,2
374.0,189.2,-0.0,-170.1,10.1,-926.1,756.7,3,2
313.3,262.2,-0.0,-175.5,8.6,-1046.9,611.8,3,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,3,2
425.0,106.3,-0.0,-151.4,18.6,-936.0,803.7,3,2
375.0,93.8,-0.0,-126.6,23.4,-852.1,992.6,3,2
475.0,118.8,-0.0,-181.1,8.9,-852.1,781.5,3,2
469.0,117.2,-0.0,-137.8,32.2,-852.1,840.5,3,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,3,2
388.6,97.1,-0.0,-157.9,12.1,-852.1,925.7,3,2
531.3,0.0,-0.0,-141.8,28.2,-852.1,893.7,3,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,3,2
318.8,212.5,-0.0,-155.7,14.3,-852.1,880.4,3,2
401.8,94.7,-0.0,-147.4,11.4,-946.8,852.1,3,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,3,2
323.7,282.8,-0.0,-183.8,10.3,-942.7,659.9,3,2
379.5,151.2,-0.0,-153.9,15.9,-1134.3,605.0,3,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,3,2
286.3,200.9,-0.0,-144.7,11.2,-1004.6,803.7,3,1
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,3,2
439.0,177.0,-0.0,-186.0,11.1,-884.9,707.9,3,2
389.9,189.0,-0.0,-145.9,22.0,-944.7,755.8,3,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,3,2
337.9,189.0,-0.0,-174.9,9.5,-944.7,755.8,3,1
374.0,189.2,-0.0,-170.1,10.1,-926.1,756.7,7,2
313.3,262.2,-0.0,-175.5,8.6,-1046.9,611.8,7,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,7,2
425.0,106.3,-0.0,-151.4,18.6,-936.0,803.7,7,2
375.0,93.8,-0.0,-126.6,23.4,-852.1,992.6,7,2
475.0,118.8,-0.0,-181.1,8.9,-852.1,781.5,7,2
469.0,117.2,-0.0,-137.8,32.2,-852.1,840.5,7,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,7,2
388.6,97.1,-0.0,-157.9,12.1,-852.1,925.7,7,2
531.3,0.0,-0.0,-141.8,28.2,-852.1,893.7,7,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,7,2
318.8,212.5,-0.0,-155.7,14.3,-852.1,880.4,7,2
401.8,94.7,-0.0,-147.4,11.4,-946.8,852.1,7,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,7,2
323.7,282.8,-0.0,-183.8,10.3,-942.7,659.9,7,2
379.5,151.2,-0.0,-153.9,15.9,-1134.3,605.0,7,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,7,2
286.3,200.9,-0.0,-144.7,11.2,-1004.6,803.7,7,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,7,2
439.0,177.0,-0.0,-186.0,11.1,-884.9,707.9,7,2
389.9,189.0,-0.0,-145.9,22.0,-944.7,755.8,7,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,7,1
337.9,189.0,-0.0,-174.9,9.5,-944.7,755.8,7,2
374.0,189.2,-0.0,-170.1,10.1,-926.1,756.7,28,2
313.3,262.2,-0.0,-175.5,8.6,-1046.9,611.8,28,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,28,2
425.0,106.3,-0.0,-151.4,18.6,-936.0,803.7,28,2
375.0,93.8,-0.0,-126.6,23.4,-852.1,992.6,28,2
475.0,118.8,-0.0,-181.1,8.9,-852.1,781.5,28,2
469.0,117.2,-0.0,-137.8,32.2,-852.1,840.5,28,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,28,2
388.6,97.1,-0.0,-157.9,12.1,-852.1,925.7,28,2
531.3,0.0,-0.0,-141.8,28.2,-852.1,893.7,28,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,28,2
318.8,212.5,-0.0,-155.7,14.3,-852.1,880.4,28,2
401.8,94.7,-0.0,-147.4,11.4,-946.8,852.1,28,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,28,2
323.7,282.8,-0.0,-183.8,10.3,-942.7,659.9,28,2
379.5,151.2,-0.0,-153.9,15.9,-1134.3,605.0,28,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,28,2
286.3,200.9,-0.0,-144.7,11.2,-1004.6,803.7,28,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,28,2
439.0,177.0,-0.0,-186.0,11.1,-884.9,707.9,28,2
389.9,189.0,-0.0,-145.9,22.0,-944.7,755.8,28,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,28,2
337.9,189.0,-0.0,-174.9,9.5,-944.7,755.8,28,2
374.0,189.2,-0.0,-170.1,10.1,-926.1,756.7,56,2
313.3,262.2,-0.0,-175.5,8.6,-1046.9,611.8,56,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,56,2
425.0,106.3,-0.0,-151.4,18.6,-936.0,803.7,56,2
375.0,93.8,-0.0,-126.6,23.4,-852.1,992.6,56,2
475.0,118.8,-0.0,-181.1,8.9,-852.1,781.5,56,2
469.0,117.2,-0.0,-137.8,32.2,-852.1,840.5,56,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,56,2
388.6,97.1,-0.0,-157.9,12.1,-852.1,925.7,56,2
531.3,0.0,-0.0,-141.8,28.2,-852.1,893.7,56,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,56,2
318.8,212.5,-0.0,-155.7,14.3,-852.1,880.4,56,2
401.8,94.7,-0.0,-147.4,11.4,-946.8,852.1,56,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,56,2
323.7,282.8,-0.0,-183.8,10.3,-942.7,659.9,56,2
379.5,151.2,-0.0,-153.9,15.9,-1134.3,605.0,56,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,56,2
286.3,200.9,-0.0,-144.7,11.2,-1004.6,803.7,56,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,56,2
439.0,177.0,-0.0,-186.0,11.1,-884.9,707.9,56,2
389.9,189.0,-0.0,-145.9,22.0,-944.7,755.8,56,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,56,2
337.9,189.0,-0.0,-174.9,9.5,-944.7,755.8,56,2
374.0,189.2,-0.0,-170.1,10.1,-926.1,756.7,91,2
313.3,262.2,-0.0,-175.5,8.6,-1046.9,611.8,91,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,91,2
425.0,106.3,-0.0,-151.4,18.6,-936.0,803.7,91,2
375.0,93.8,-0.0,-126.6,23.4,-852.1,992.6,91,2
475.0,118.8,-0.0,-181.1,8.9,-852.1,781.5,91,2
469.0,117.2,-0.0,-137.8,32.2,-852.1,840.5,91,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,91,2
388.6,97.1,-0.0,-157.9,12.1,-852.1,925.7,91,2
531.3,0.0,-0.0,-141.8,28.2,-852.1,893.7,91,2
425.0,106.3,-0.0,-153.5,16.5,-852.1,887.1,91,2
318.8,212.5,-0.0,-155.7,14.3,-852.1,880.4,91,2
401.8,94.7,-0.0,-147.4,11.4,-946.8,852.1,91,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,91,2
379.5,151.2,-0.0,-153.9,15.9,-1134.3,605.0,91,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,91,2
286.3,200.9,-0.0,-144.7,11.2,-1004.6,803.7,91,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,91,2
439.0,177.0,-0.0,-186.0,11.1,-884.9,707.9,91,2
389.9,189.0,-0.0,-145.9,22.0,-944.7,755.8,91,2
362.6,189.0,-0.0,-164.9,11.6,-944.7,755.8,91,2
337.9,189.0,-0.0,-174.9,9.5,-944.7,755.8,91,2
222.36,0.0,-96.67,-189.29,4.46,-967.08,870.32,3,1
222.36,0.0,-96.67,-189.29,4.46,-967.08,870.32,14,1
222.36,0.0,-96.67,-189.29,4.46,-967.08,870.32,28,1
222.36,0.0,-96.67,-189.29,4.46,-967.08,870.32,56,2
222.36,0.0,-96.67,-189.29,4.46,-967.08,870.32,100,2
233.81,0.0,-94.58,-197.89,4.567,-947.04,852.16,3,1
233.81,0.0,-94.58,-197.89,4.567,-947.04,852.16,14,1
233.81,0.0,-94.58,-197.89,4.567,-947.04,852.16,28,1
233.81,0.0,-94.58,-197.89,4.567,-947.04,852.16,56,2
233.81,0.0,-94.58,-197.89,4.567,-947.04,852.16,100,2
194.68,0.0,-100.52,-165.62,7.48,-1006.4,905.9,3,1
194.68,0.0,-100.52,-165.62,7.48,-1006.4,905.9,14,1
194.68,0.0,-100.52,-165.62,7.48,-1006.4,905.9,28,2
194.68,0.0,-100.52,-165.62,7.48,-1006.4,905.9,56,2
194.68,0.0,-100.52,-165.62,7.48,-1006.4,905.9,100,2
